area,kWh,year,OID,flaeche,energietraeger,kategorie,f_ANGF,f_flaeche,TEK_HZG,TEK_WW,hzg_kWh,ww_kWh,verbrauch_kWh,egain_installation,TM,SO,NM,FM,RFM,KF,bbsr_unbereinigt,kWh_bereinigt,egain_year,has_egain,remove,MWh/a
7700.0,861376.1400000006,2021,217601,7700.0,erdgas,School,0.931458643807496,7172.231557317718,49.3,22.4,353591.0157757635,160657.9868839169,514249.0026596804,2018-01-01,6.034552845528455,3.0982357723577234,0.0,3.7504065040650407,76.9789430894309,1.0803751785022382,475991.1305742897,930609.4010100696,2018,True,False,0.9306094010100696
6765.0,751964.1256951486,2021,218946,6765.0,erdgas,School,0.9501279534090564,6427.615604812266,49.3,22.4,316881.4493172447,143978.58954779475,460860.0388650395,2018-09-23,6.034552845528455,3.0982357723577234,0.0,3.7504065040650407,76.9789430894309,1.0803751785022382,426574.07170715067,812403.3765251756,2019,True,False,0.8124033765251757
4482.0,469192.77,2021,218968,4482.0,erdgas,School,1.0130734663241583,4540.595276064878,49.3,22.4,223851.3471099985,101709.33418385328,325560.6812938517,2019-01-20,6.034552845528455,3.0982357723577234,0.0,3.7504065040650407,76.9789430894309,1.0803751785022382,301340.3933855532,506904.2226407096,2019,True,False,0.5069042226407096
1422.0,111645.03007263927,2021,218972,1422.0,erdgas,School,1.2210969495995507,1736.399862330561,49.3,22.4,85604.51321289665,38895.35691620457,124499.8701291012,2018-10-02,6.034552845528455,3.0982357723577234,0.0,3.7504065040650407,76.9789430894309,1.0803751785022382,115237.62541610748,120618.5192936154,2019,True,False,0.1206185192936154
1587.0,247031.9100000001,2021,220065,1587.0,erdgas,Fire Dept.,1.1989111219445916,1902.671950526067,50.8,7.1,96655.7350867242,13508.970848735074,110164.70593545926,2020-03-02,6.034552845528455,3.0982357723577234,0.0,3.7504065040650407,76.9789430894309,1.0803751785022382,101968.93461416286,266887.1438619989,2020,True,False,0.2668871438619989
1048.0,152438.762,2021,220067,1048.0,fernwaerme,Fire Dept.,1.2855949349078502,1347.303491783427,50.8,7.1,68443.01738259809,9565.854791662332,78008.87217426042,2019-04-01,6.034552845528455,3.0982357723577234,0.0,3.7504065040650407,76.9789430894309,1.0803751785022382,72205.35396084057,164691.05470641018,2019,True,False,0.1646910547064101
1494.0,195732.496,2021,220081,1494.0,fernwaerme,Fire Dept.,1.21105026981466,1809.3091031031024,50.8,7.1,91912.9024376376,12846.094632032024,104758.9970696696,2019-01-01,6.034552845528455,3.0982357723577234,0.0,3.7504065040650407,76.9789430894309,1.0803751785022382,96965.38679729818,211464.53030468864,2019,True,False,0.2114645303046886
1847.0,332214.49600000004,2021,220115,1847.0,fernwaerme,Fire Dept.,1.169099631138471,2159.327018712756,50.8,7.1,109693.812550608,15331.221832860569,125025.03438346856,2019-01-01,6.034552845528455,3.0982357723577234,0.0,3.7504065040650407,76.9789430894309,1.0803751785022382,115723.71975149884,358916.2954170312,2019,True,False,0.3589162954170312
2535.0,505409.544,2021,220123,2535.0,erdgas,Fire Dept.,1.1099297030848252,2813.671797320032,50.8,7.1,142934.5273038576,19977.069760972227,162911.59706482984,2019-03-02,6.034552845528455,3.0982357723577234,0.0,3.7504065040650407,76.9789430894309,1.0803751785022382,150791.68820842393,546031.9263157347,2019,True,False,0.5460319263157347
1533.0,140911.50399999996,2021,220127,1533.0,fernwaerme,Fire Dept.,1.205850849092163,1848.5693516582853,50.8,7.1,93907.32306424087,13124.842396773824,107032.16546101472,2019-01-01,6.034552845528455,3.0982357723577234,0.0,3.7504065040650407,76.9789430894309,1.0803751785022382,99069.44142255948,152237.2912870188,2019,True,False,0.1522372912870188
